POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,Dots,Avg,Econ,SR,4w,5w
65,AdamZampa,3,3,11,92,2,20,46.00,8.36,33.00,0,0
66,ImranTahir,3,3,11,76,1,19,76.00,6.90,66.00,0,0
67,KuldeepYadav,5,4,12,92,1,19,92.00,7.66,72.00,0,0
68,AmitMishra,3,3,10,72,3,17,24.00,7.20,20.00,0,0
69,ShivamDube,11,5,9,73,4,14,18.25,8.11,13.50,0,0
70,UmeshYadav,2,2,7,83,0,14,-,11.85,-,0,0
71,JayantYadav,2,2,7,43,1,13,43.00,6.14,42.00,0,0
72,MitchellSantner,2,2,7,53,2,12,26.50,7.57,21.00,0,0
73,PravinDubey,3,3,8,72,0,12,-,9.00,-,0,0
74,MujeebUr Rahman,2,2,8,83,0,12,-,10.37,-,0,0
75,AbhishekSharma,8,6,10,91,2,11,45.50,9.10,30.00,0,0
76,KrishnappaGowtham,2,2,8,84,1,11,84.00,10.50,48.00,0,0
77,ShahbazAhmed,2,2,6,44,2,9,22.00,7.33,18.00,0,0
78,AbdulSamad,12,3,7,96,1,9,96.00,13.71,42.00,0,0
79,MoeenAli,3,3,5,42,1,8,42.00,8.40,30.00,0,0
80,SandeepWarrier,1,1,3,34,0,8,-,11.33,-,0,0
81,AveshKhan,1,1,4,42,0,7,-,10.50,-,0,0
82,MohitSharma,1,1,4,45,1,7,45.00,11.25,24.00,0,0
83,DhawalKulkarni,1,1,3,22,0,6,-,7.33,-,0,0
84,ChrisGreen,1,1,2.5,24,0,6,-,8.47,-,0,0
85,HarpreetBrar,1,1,4,41,0,6,-,10.25,-,0,0
86,SiddarthKaul,1,1,4,64,2,6,32.00,16.00,12.00,0,0
87,MohammadNabi,1,1,4,23,0,5,-,5.75,-,0,0
88,BasilThampi,1,1,4,46,1,5,46.00,11.50,24.00,0,0
89,AndrewTye,1,1,4,50,1,5,50.00,12.50,24.00,0,0
90,IshantSharma,1,1,3,26,0,4,-,8.66,-,0,0
91,MonuKumar,1,1,2,20,0,4,-,10.00,-,0,0
92,RiyanParag,12,2,2,27,0,3,-,13.50,-,0,0
93,DeepakHooda,7,1,1,9,0,2,-,9.00,-,0,0
94,MitchellMarsh,1,1,0.4,6,0,1,-,9.00,-,0,0
