POS,PLAYER,Runs,BF,4s,6s,SR,Against,Venue,Match Date
85,RishabhPant,37,25,5,0,148.00,CSK,Dubai International Cricket Stadium,25 September 2020
86,PatCummins,53,36,5,2,147.22,MI,Zayed Cricket Stadium,16 October 2020
87,RavindraJadeja,50,35,5,2,142.85,SRH,Dubai International Cricket Stadium,02 October 2020
88,DavidWarner,47,33,5,0,142.42,KKR,Zayed Cricket Stadium,18 October 2020
89,MarcusStoinis,38,27,5,1,140.74,SRH,Zayed Cricket Stadium,08 November 2020
90,ShubmanGill,47,34,5,1,138.23,RR,Dubai International Cricket Stadium,30 September 2020
91,ManishPandey,29,21,5,0,138.09,CSK,Dubai International Cricket Stadium,02 October 2020
92,DavidWarner,60,44,5,2,136.36,MI,Sharjah Cricket Stadium,04 October 2020
93,DevduttPadikkal,54,40,5,2,135.00,MI,Dubai International Cricket Stadium,28 September 2020
94,RohitSharma,68,51,5,4,133.33,DC,Dubai International Cricket Stadium,10 November 2020
95,AjinkyaRahane,60,46,5,1,130.43,RCB,Zayed Cricket Stadium,02 November 2020
96,DineshKarthik,30,23,5,0,130.43,MI,Zayed Cricket Stadium,23 September 2020
97,ABde Villiers,56,43,5,0,130.23,SRH,Zayed Cricket Stadium,06 November 2020
98,DavidWarner,52,40,5,1,130.00,KXIP,Dubai International Cricket Stadium,08 October 2020
99,ShreyasIyer,42,33,5,0,127.27,MI,Zayed Cricket Stadium,11 October 2020
100,Quintonde Kock,46,37,5,2,124.32,CSK,Sharjah Cricket Stadium,23 October 2020
