POS,PLAYER,HS,BF,4s,6s,SR,Against,Venue,Match Date
84,SanjuSamson,54*,31,4,3,174.19,MI,Zayed Cricket Stadium,25 October 2020
85,TomCurran,54*,36,2,3,150.00,KKR,Dubai International Cricket Stadium,30 September 2020
86,DevduttPadikkal,54,40,5,2,135.00,MI,Dubai International Cricket Stadium,28 September 2020
87,ShikharDhawan,54,41,6,0,131.70,RCB,Zayed Cricket Stadium,02 November 2020
88,ManishPandey,54,44,2,3,122.72,RR,Dubai International Cricket Stadium,11 October 2020
89,MarcusStoinis,53*,26,6,2,203.84,RCB,Dubai International Cricket Stadium,05 October 2020
90,PatCummins,53*,36,5,2,147.22,MI,Zayed Cricket Stadium,16 October 2020
91,MarcusStoinis,53,21,7,3,252.38,KXIP,Dubai International Cricket Stadium,20 September 2020
92,NicholasPooran,53,28,6,3,189.28,DC,Dubai International Cricket Stadium,20 October 2020
93,RahulTewatia,53,31,0,7,170.96,KXIP,Sharjah Cricket Stadium,27 September 2020
94,SuryakumarYadav,53,32,6,1,165.62,DC,Zayed Cricket Stadium,11 October 2020
95,Quintonde Kock,53,36,4,3,147.22,DC,Zayed Cricket Stadium,11 October 2020
96,Quintonde Kock,53,43,3,3,123.25,KXIP,Dubai International Cricket Stadium,18 October 2020
97,ShreyasIyer,53,43,3,2,123.25,RR,Dubai International Cricket Stadium,14 October 2020
98,ChrisGayle,53,45,1,5,117.77,RCB,Sharjah Cricket Stadium,15 October 2020
99,JonnyBairstow,53,48,2,1,110.41,DC,Zayed Cricket Stadium,29 September 2020
100,VijayShankar,52*,51,6,0,101.96,RR,Dubai International Cricket Stadium,22 October 2020
