POS,PLAYER,Against,Venue,Match Date,BF,6s,4s,Runs
61,KLRahul,RR,Sharjah Cricket Stadium,27 September 2020,35,1,7,69
62,SteveSmith,CSK,Sharjah Cricket Stadium,22 September 2020,35,4,4,69
63,KaneWilliamson,DC,Zayed Cricket Stadium,08 November 2020,35,4,5,67
64,PrithviShaw,KKR,Sharjah Cricket Stadium,03 October 2020,35,4,4,66
65,PrithviShaw,CSK,Dubai International Cricket Stadium,25 September 2020,35,1,9,64
66,RishabhPant,MI,Dubai International Cricket Stadium,10 November 2020,35,2,4,56
67,TomCurran,KKR,Dubai International Cricket Stadium,30 September 2020,35,3,2,54
68,PatCummins,MI,Zayed Cricket Stadium,16 October 2020,35,2,5,53
69,ManishPandey,KKR,Zayed Cricket Stadium,26 September 2020,35,2,3,51
70,KLRahul,RCB,Dubai International Cricket Stadium,24 September 2020,36,7,14,132
71,RohitSharma,DC,Dubai International Cricket Stadium,10 November 2020,36,4,5,68
72,MarcusStoinis,MI,Dubai International Cricket Stadium,05 November 2020,36,3,6,65
73,ShubmanGill,KXIP,Sharjah Cricket Stadium,26 October 2020,36,4,3,57
74,KaneWilliamson,CSK,Dubai International Cricket Stadium,13 October 2020,36,0,7,57
75,DevduttPadikkal,SRH,Dubai International Cricket Stadium,21 September 2020,36,0,8,56
76,ChrisGayle,RCB,Sharjah Cricket Stadium,15 October 2020,36,5,1,53
77,SuryakumarYadav,DC,Dubai International Cricket Stadium,05 November 2020,36,2,6,51
78,IshanKishan,DC,Dubai International Cricket Stadium,31 October 2020,37,3,8,72
79,RuturajGaikwad,KKR,Dubai International Cricket Stadium,29 October 2020,37,2,6,72
80,JosButtler,CSK,Zayed Cricket Stadium,19 October 2020,37,2,7,70
81,JonnyBairstow,RCB,Dubai International Cricket Stadium,21 September 2020,37,2,6,61
82,KLRahul,RCB,Sharjah Cricket Stadium,15 October 2020,37,5,1,61
83,AjinkyaRahane,RCB,Zayed Cricket Stadium,02 November 2020,37,1,5,60
84,ShikharDhawan,RCB,Zayed Cricket Stadium,02 November 2020,37,0,6,54
85,DevduttPadikkal,MI,Dubai International Cricket Stadium,28 September 2020,37,2,5,54
86,DavidWarner,KXIP,Dubai International Cricket Stadium,08 October 2020,37,1,5,52
87,RuturajGaikwad,KXIP,Zayed Cricket Stadium,01 November 2020,38,1,6,62
88,IshanKishan,RCB,Dubai International Cricket Stadium,28 September 2020,39,9,2,99
89,ViratKohli,CSK,Dubai International Cricket Stadium,10 October 2020,39,4,4,90
90,RohitSharma,KKR,Zayed Cricket Stadium,23 September 2020,39,6,3,80
91,ShikharDhawan,MI,Zayed Cricket Stadium,11 October 2020,39,1,6,69
92,Fafdu Plessis,DC,Sharjah Cricket Stadium,17 October 2020,39,2,6,58
93,ABde Villiers,SRH,Zayed Cricket Stadium,06 November 2020,39,0,5,56
94,Quintonde Kock,KXIP,Dubai International Cricket Stadium,18 October 2020,39,3,3,53
95,ShaneWatson,KKR,Zayed Cricket Stadium,07 October 2020,39,1,6,50
96,RohitSharma,KXIP,Zayed Cricket Stadium,01 October 2020,40,3,8,70
97,ShreyasIyer,MI,Dubai International Cricket Stadium,10 November 2020,40,2,6,65
98,ManishPandey,RR,Dubai International Cricket Stadium,11 October 2020,40,3,2,54
99,ShreyasIyer,RR,Dubai International Cricket Stadium,14 October 2020,40,2,3,53
100,DevduttPadikkal,DC,Zayed Cricket Stadium,02 November 2020,40,0,5,50
